X,Y,OBJECTID,Loc_name,Status,Score,Match_type,Match_addr,User_fld,Addr_type,Side,ARC_Street,ARC_City,ARC_State,ARC_ZIP,Facility_Name,Notification_ID,Facility_Address,Abatement_Contractor,Demo_Contractor,DateStartActual,MonthStart,DayStart,YearStart,DateEndActual,MonthEnd,DayEnd,YearEnd,GEOID10_Tract,ZCTA5CE10,DRPS_ResStr,D3_SurveyParcelID
-82.9593308313462,42.3867567777086,19,ParcelLocator_,M,100,A,"4100 COPLIN ST, DETROIT, MI, 48215",21051370.,StreetAddress,,4100 COPLIN ST,Detroit,MI,482,ABANDONED RESIDENTIAL HOM,20133304,4100 COPLIN,,JOY CONSTRUCTION LEA,2013/01/21 00:00:00+00,1,21,2013,2013/01/31 00:00:00+00,1,31,2013,26163512400,48215,,21051370.13799
-82.9532356276532,42.3994063551391,20,ParcelLocator_,M,100,A,"5114 MARYLAND ST, DETROIT, MI, 48224",21064253.,StreetAddress,,5114 MARYLAND ST,Detroit,MI,482,ABANDONED RESIDENTIAL HOM,20133302,5114 MARYLAND,,JOY CONSTRUCTION LEA,2013/01/21 00:00:00+00,1,21,2013,2013/01/31 00:00:00+00,1,31,2013,26163501300,48224,,21064253.16284
-83.0198556946955,42.368987869743,21,ParcelLocator_,M,100,A,"4452 CONCORD ST, DETROIT, MI, 48207",15010867.,StreetAddress,,4452 CONCORD ST,Detroit,MI,482,ABANDONED RESIDENTIAL HOM,20133301,4452 CONCORD,,JOY CONSTRUCTION LEA,2013/01/21 00:00:00+00,1,21,2013,2013/01/31 00:00:00+00,1,31,2013,26163516200,48207,1,15010867.9369
-83.0790229643574,42.4381842873383,22,ParcelLocator_,M,100,A,"19622 FLEMING ST, DETROIT, MI, 48234",09014694.,StreetAddress,,19622 FLEMING ST,Detroit,MI,482,ABANDONED RESIDENTIAL HOM,20133300,19622 FLEMING,,JOY CONSTRUCTION LEA,2013/01/21 00:00:00+00,1,21,2013,2013/01/31 00:00:00+00,1,31,2013,26163507400,48234,1,09014694.25587
-83.1139769226933,42.4363788949216,23,ParcelLocator_,M,100,A,"986 ANNIN ST, DETROIT, MI, 48203",01007368.,StreetAddress,,986 ANNIN ST,Detroit,MI,482,ABANDONED RESIDENTIAL HOM,20133297,986 ANNIN,,JOY CONSTRUCTION LEA,2013/01/21 00:00:00+00,1,21,2013,2013/01/31 00:00:00+00,1,31,2013,26163508000,48203,1,01007368.24891
-83.2374929115046,42.3568465091934,24,ParcelLocator_,M,100,A,"8679 VAUGHAN ST, DETROIT, MI, 48228",22098563.,StreetAddress,,8679 VAUGHAN ST,Detroit,MI,482,RESIDENCE,20140013,8679 VAUGHAN,,"DMC CONSULTANTS, INC",2014/01/24 00:00:00+00,1,24,2014,2014/01/31 00:00:00+00,1,31,2014,26163546100,48228,1,22098563.5991
-83.0374980879894,42.3736878547056,25,ParcelLocator_,M,90.87,A,"3315 E PALMER ST, DETROIT, MI, 48211",13003477.,StreetAddress,,3315 PALMER ST,DETROIT,MI,482,RESIDENCE,20140012,3315 PALMER,,"DMC CONSULTANTS, INC",2014/01/24 00:00:00+00,1,24,2014,2014/01/31 00:00:00+00,1,31,2014,26163518500,48211,1,13003477.10648
-83.1995234969476,42.3702995238136,26,ParcelLocator_,M,100,A,"11300 MONTROSE AVE, DETROIT, MI, 48227",22052945.,StreetAddress,,11300 MONTROSE AVE,Detroit,MI,482,RESIDENCE,20140011,11300 MONTROSE,,"DMC CONSULTANTS, INC",2014/01/24 00:00:00+00,1,24,2014,2014/01/31 00:00:00+00,1,31,2014,26163545200,48227,1,22052945.9564
-83.2115567055411,42.3687060649608,27,ParcelLocator_,M,100,A,"9972 MEMORIAL ST, DETROIT, MI, 48227",22067589.,StreetAddress,,9972 MEMORIAL ST,Detroit,MI,482,RESIDENCE,20140010,9972 MEMORIAL,,"DMC CONSULTANTS, INC",2014/01/24 00:00:00+00,1,24,2014,2014/01/31 00:00:00+00,1,31,2014,26163545200,48227,1,22067589.8969
-83.2115598389507,42.3688021602586,28,ParcelLocator_,M,100,A,"9980 MEMORIAL ST, DETROIT, MI, 48227",22067590.,StreetAddress,,9980 MEMORIAL ST,Detroit,MI,482,RESIDENCE,20140009,9980 MEMORIAL,,"DMC CONSULTANTS, INC",2014/01/24 00:00:00+00,1,24,2014,2014/01/31 00:00:00+00,1,31,2014,26163545200,48227,1,22067590.8969
-83.032509623728,42.3717701660515,29,ParcelLocator_,M,100,A,"3549 FREDERICK ST, DETROIT, MI, 48211",13003110.,StreetAddress,,3549 FREDERICK ST,Detroit,MI,482,RESIDENCE,20140008,3549 FREDERICK,,"DMC CONSULTANTS, INC",2014/01/24 00:00:00+00,1,24,2014,2014/01/31 00:00:00+00,1,31,2014,26163518500,48211,,13003110.10321
-83.0299483266898,42.3630214496887,30,ParcelLocator_,M,100,A,"3340 E WILLIS ST, DETROIT, MI, 48207",13002184.,StreetAddress,,3340 E WILLIS ST,DETROIT,MI,482,RESIDENCE,20140007,3340 E WILLIS,,"DMC CONSULTANTS, INC",2014/01/24 00:00:00+00,1,24,2014,2014/01/31 00:00:00+00,1,31,2014,26163518600,48207,1,13002184.7908
-83.2172941886717,42.3924797457471,31,ParcelLocator_,M,100,A,"14364 SOUTHFIELD RD, DETROIT, MI, 48223",22073258.,StreetAddress,,14364 SOUTHFIELD RD,DETROIT,MI,482,ABANDONED/VACANT STRUCTUR,20135801,14364 SOUTHFIEL,,"1 WAY SERVICE, INC.",2013/01/21 00:00:00+00,1,21,2013,2013/01/22 00:00:00+00,1,22,2013,26163542500,48223,1,22073258.14417
-83.2174585926734,42.3968151474528,32,ParcelLocator_,M,100,A,"14838 SOUTHFIELD RD, DETROIT, MI, 48223",22073294.001,StreetAddress,,14838 SOUTHFIELD RD,DETROIT,MI,482,ABANDONED/VACANT STRUCTUR,20135800,14838-44 SOUTHF,,"1 WAY SERVICE, INC.",2013/01/22 00:00:00+00,1,22,2013,2013/01/23 00:00:00+00,1,23,2013,26163542500,48223,1,22073294.001
-83.1168651643418,42.4371066345709,33,ParcelLocator_,M,100,A,"1134 W LANTZ ST, DETROIT, MI, 48203",01007498.,StreetAddress,,1134 W LANTZ ST,DETROIT,MI,482,RESIDENTIAL STRUCTURE,20135605,1134 W LANTZ,PROFESSIONAL ABATEME,ABLE DEMOLITION INC,2013/01/16 00:00:00+00,1,16,2013,2013/01/18 00:00:00+00,1,18,2013,26163508000,48203,,01007498.25042
-83.2209246982508,42.3563263191381,34,ParcelLocator_,M,100,A,"8620 FAUST AVE, DETROIT, MI, 48228",22078501.,StreetAddress,,8620 FAUST AVE,Detroit,MI,482,ABANDONED,20133991,8620 FAUST,,"1 WAY SERVICE, INC.",2013/01/26 00:00:00+00,1,26,2013,2013/01/28 00:00:00+00,1,28,2013,26163546000,48228,1,22078501.6096
-82.9480131482066,42.4011877322708,35,ParcelLocator_,M,100,A,"5107 BALFOUR RD, DETROIT, MI, 48224",21068765.,StreetAddress,,5107 BALFOUR RD,Detroit,MI,482,ABANDONED,20133714,5107 BALFOUR,,"1 WAY SERVICE, INC.",2013/01/04 00:00:00+00,1,4,2013,2013/01/04 00:00:00+00,1,4,2013,26163501300,48224,1,21068765.16670
-83.1105660235495,42.4375623309559,36,ParcelLocator_,M,100,A,"709 FERNHILL ST, DETROIT, MI, 48203",01007601.,StreetAddress,,709 FERNHILL ST,Detroit,MI,482,ABANDONED SCHEDULED FOR D,20133672,709 FERNHILL,,"DMC CONSULTANTS, INC",2013/01/29 00:00:00+00,1,29,2013,2013/02/01 00:00:00+00,2,1,2013,26163508000,48203,1,01007601.25118
-83.1049382821491,42.4344563945217,37,ParcelLocator_,M,100,A,"19308 EXETER ST, DETROIT, MI, 48203",01009050.,StreetAddress,,19308 EXETER ST,Detroit,MI,482,ABANDONED SCHEDULED FOR D,20133671,19308 EXETER,,"DMC CONSULTANTS, INC",2013/01/29 00:00:00+00,1,29,2013,2013/02/01 00:00:00+00,2,1,2013,26163508000,48203,1,01009050.24974
-83.0047036157077,42.3776454058024,38,ParcelLocator_,M,100,A,"4772 FISCHER ST, DETROIT, MI, 48214",19010577.,StreetAddress,,4772 FISCHER ST,Detroit,MI,482,VACANT,20133670,4772 FISCHER,,DEN-MAN CONTRACTORS,2013/01/30 00:00:00+00,1,30,2013,2013/02/06 00:00:00+00,2,6,2013,26163514500,48214,1,19010577.11619
-83.2300696190819,42.3538986177675,39,ParcelLocator_,M,100,A,"8319 GRANDVILLE AVE, DETROIT, MI, 48228",22088934.,StreetAddress,,8319 GRANDVILLE AVE,Detroit,MI,482,VACANT,20133669,8319 GRANDVILLE,,DEN-MAN CONTRACTORS,2013/01/30 00:00:00+00,1,30,2013,2013/02/06 00:00:00+00,2,6,2013,26163546000,48228,1,22088934.5411
-82.9583979903169,42.4126554271718,40,ParcelLocator_,M,100,A,"10231 LAKEPOINTE ST, DETROIT, MI, 48224",21065011.,StreetAddress,,10231 LAKEPOINTE ST,DETROIT,MI,482,VACANT,20133668,10231 LAKEPOINT,,DEN-MAN CONTRACTORS,2013/01/29 00:00:00+00,1,29,2013,2013/02/01 00:00:00+00,2,1,2013,26163501100,48224,1,21065011.19355
-83.1203705899029,42.2943619542297,41,ParcelLocator_,M,100,A,"8441 MELVILLE ST, DETROIT, MI, 48209",20001088.,StreetAddress,,8441 MELVILLE ST,Detroit,MI,482,VACANT RESIDENTIAL,20133588,8441 MELVILLE,,JOY CONSTRUCTION LEA,2013/01/10 00:00:00+00,1,10,2013,2013/01/30 00:00:00+00,1,30,2013,26163524900,48209,1,20001088.521
-83.0288177855332,42.3696966446475,42,ParcelLocator_,M,100,A,"3672 E WARREN AVE, DETROIT, MI, 48207",13002696.,StreetAddress,,3672 E WARREN AVE,DETROIT,MI,482,DWELLING,20133584,3672 E WARREN,,"FARROW GROUP, INC.",2013/01/22 00:00:00+00,1,22,2013,2013/04/15 00:00:00+00,4,15,2013,26163518600,48207,1,13002696.9554
-83.0376947534788,42.3679308387781,43,ParcelLocator_,M,100,A,"5109 MITCHELL ST, DETROIT, MI, 48211",11003513.,StreetAddress,,5109 MITCHELL ST,Detroit,MI,482,VACANT RESIDENTIAL,20133580,5109 MITCHELL,,JOY CONSTRUCTION LEA,2013/01/23 00:00:00+00,1,23,2013,2013/02/23 00:00:00+00,2,23,2013,26163518400,48211,1,11003513.9101
-83.027889492752,42.3612392208333,44,ParcelLocator_,M,100,A,"3380 LELAND ST, DETROIT, MI, 48207",13001950.,StreetAddress,,3380 LELAND ST,Detroit,MI,482,VACANT RESIDENTIAL,20133576,3380 LELAND,,JOY CONSTRUCTION LEA,2013/01/23 00:00:00+00,1,23,2013,2013/02/23 00:00:00+00,2,23,2013,26163518600,48207,1,13001950.7397
-82.9708195956817,42.4213108112943,45,ParcelLocator_,M,100,A,"14678 ALMA ST, DETROIT, MI, 48205",21014634.,StreetAddress,,14678 ALMA ST,Detroit,MI,482,VACANT RESIDENTIAL,20133571,14678 ALMA,,JOY CONSTRUCTION LEA,2013/01/31 00:00:00+00,1,31,2013,2013/02/23 00:00:00+00,2,23,2013,26163500500,48205,1,21014634.21427
-82.9556401236832,42.4116264892982,46,ParcelLocator_,M,100,A,"10034 GREENSBORO AVE, DETROIT, MI, 48224",21065279.,StreetAddress,,10034 GREENSBORO AVE,DETROIT,MI,482,VACANT RESIDENTIAL,20133564,10034 GREENSBOR,AFFORDABLE ABATEMENT,JOY CONSTRUCTION LEA,2013/01/31 00:00:00+00,1,31,2013,2013/02/23 00:00:00+00,2,23,2013,26163501200,48224,1,21065279.19246
-82.9566966288658,42.4167959656439,47,ParcelLocator_,M,100,A,"10715 WAYBURN ST, DETROIT, MI, 48224",21063760-1,StreetAddress,,10715 WAYBURN ST,Detroit,MI,482,VACANT RESIDENTIAL,20133553,10715 WAYBURN,,JOY CONSTRUCTION LEA,2013/01/31 00:00:00+00,1,31,2013,2013/02/23 00:00:00+00,2,23,2013,26163501100,48224,1,21063760-1
-82.9557129439802,42.411530870359,48,ParcelLocator_,M,100,A,"10026 GREENSBORO AVE, DETROIT, MI, 48224",21065278.,StreetAddress,,10026 GREENSBORO AVE,DETROIT,MI,482,VACANT RESIDENTIAL,20133551,10026 GREENSBOR,,JOY CONSTRUCTION LEA,2013/01/31 00:00:00+00,1,31,2013,2013/02/23 00:00:00+00,2,23,2013,26163501200,48224,1,21065278.19246
-83.1085833779359,42.4355466370116,49,ParcelLocator_,M,100,A,"19393 BLAKE ST, DETROIT, MI, 48203",01009359.,StreetAddress,,19393 BLAKE ST,Detroit,MI,482,VACANT RESIDENTIAL,20133547,19393 BLAKE,,JOY CONSTRUCTION LEA,2013/01/31 00:00:00+00,1,31,2013,2013/02/23 00:00:00+00,2,23,2013,26163508000,48203,1,01009359.24718
-82.9989927609157,42.4365448498365,50,ParcelLocator_,M,100,A,"19305 STRASBURG ST, DETROIT, MI, 48205",21034414.,StreetAddress,,19305 STRASBURG ST,Detroit,MI,482,VACANT RESIDENTIAL,20133546,19305 STRASBURG,,JOY CONSTRUCTION LEA,2013/01/31 00:00:00+00,1,31,2013,2013/02/23 00:00:00+00,2,23,2013,26163503300,48205,1,21034414.25425
-82.9611867454972,42.3914224981634,51,ParcelLocator_,M,100,A,"4654 LAKEVIEW ST, DETROIT, MI, 48215",21052336.,StreetAddress,,4654 LAKEVIEW ST,Detroit,MI,482,VACANT RESIDENTIAL,20133544,4654 LAKEVIEW,,JOY CONSTRUCTION LEA,2013/01/31 00:00:00+00,1,31,2013,2013/02/23 00:00:00+00,2,23,2013,26163512400,48215,,21052336.14727
-83.2330715787297,42.3387191612495,52,ParcelLocator_,M,100,A,"6499 AUBURN ST, DETROIT, MI, 48228",22093015.,StreetAddress,,6499 AUBURN ST,Detroit,MI,482,VACANT RESIDENTIAL,20133529,6499 AUBURN,,JOY CONSTRUCTION LEA,2013/01/31 00:00:00+00,1,31,2013,2013/02/23 00:00:00+00,2,23,2013,26163545800,48228,1,22093015.3190
-83.203882041512,42.3716664294672,53,ParcelLocator_,M,100,A,"11409 MANSFIELD ST, DETROIT, MI, 48227",22057943.,StreetAddress,,11409 MANSFIELD ST,Detroit,MI,482,VACANT RESIDENTIAL,20133527,11409 MANSFIELD,,JOY CONSTRUCTION LEA,2013/01/31 00:00:00+00,1,31,2013,2013/02/23 00:00:00+00,2,23,2013,26163545200,48227,1,22057943.9533
-82.9790118533571,42.4399731751491,54,ParcelLocator_,M,100,A,"14047 LIBERAL ST, DETROIT, MI, 48205",21022840.,StreetAddress,,14047 LIBERAL ST,Detroit,MI,482,VACANT RESIDENCE,20133465,14047 LIBERAL,ENVIRONMENTAL MAINTE,ADAMO DEMOLITION CO,2013/01/08 00:00:00+00,1,8,2013,2013/01/09 00:00:00+00,1,9,2013,26163503400,48205,1,21022840.25933
-83.1099787663891,42.4342938287425,55,ParcelLocator_,M,100,A,"19302 HAVANA ST, DETROIT, MI, 48203",01009483.,StreetAddress,,19302 HAVANA ST,Detroit,MI,482,VACANT RESIDENTIAL,20133007,19302 HAVANA,BROWN ENV CONSTRUCTI,BROWN ENV CONSTRUCTI,2013/01/23 00:00:00+00,1,23,2013,2013/01/30 00:00:00+00,1,30,2013,26163508000,48203,1,01009483.24703
-83.1022861903381,42.4212542644197,56,ParcelLocator_,M,100,A,"10 W PARKHURST, DETROIT, MI, 48203",01004812.,StreetAddress,,10 W PARKHURST ,Detroit,MI,482,VACANT RESIDENTIAL,20133003,10 W PARKHURST,BROWN ENV CONSTRUCTI,BROWN ENV CONSTRUCTI,2013/01/23 00:00:00+00,1,23,2013,2013/01/30 00:00:00+00,1,30,2013,26163507900,48203,1,01004812.21084
-83.1419105514459,42.3976214724742,57,ParcelLocator_,M,100,A,"14656 SANTA ROSA, DETROIT, MI, 48238",16020027.,StreetAddress,,14656 SANTA ROSA,DETROIT,MI,482,VACANT,20121440,14656 SANTA ROS,,GLO WRECKING COMPANY,2012/01/03 00:00:00+00,1,3,2012,2012/01/16 00:00:00+00,1,16,2012,26163536400,48238,1,16020027.15425
-83.1589587242491,42.4038048909185,58,ParcelLocator_,M,100,A,"15377 KENTUCKY ST, DETROIT, MI, 48238",16037040.,StreetAddress,,15377 KENTUCKY ST,Detroit,MI,482,VACANT HOME,20121439,15377 KENTUCKY,,GLO WRECKING COMPANY,2012/01/03 00:00:00+00,1,3,2012,2012/01/16 00:00:00+00,1,16,2012,26163536300,48238,1,16037040.16723
-83.2545204870734,42.3950753848062,59,ParcelLocator_,M,100,A,"14635 BURGESS, DETROIT, MI, 48223",22112392.,StreetAddress,,14635 BURGESS  ,Detroit,MI,482,ABANDONED BUILDING,20121437,14635 BURGESS,LAKESHORE ENG SERVIC,GLO WRECKING COMPANY,2012/01/03 00:00:00+00,1,3,2012,2012/01/16 00:00:00+00,1,16,2012,26163543600,48223,1,22112392.14677
-82.9493076892856,42.3974921673114,60,ParcelLocator_,M,100,A,"4835 BEACONSFIELD ST, DETROIT, MI, 48224",21066268.,StreetAddress,,4835 BEACONSFIELD ST,DETROIT,MI,482,RESIDENTIAL STRUCTURE,20121398,4835 BEACONSFIE,PROFESSIONAL ABATEME,ABLE DEMOLITION INC,2012/01/30 00:00:00+00,1,30,2012,2012/02/03 00:00:00+00,2,3,2012,26163502000,48224,1,21066268.16005
-83.2399431424406,42.4264917394951,61,ParcelLocator_,M,100,A,"18541 VAUGHAN ST, DETROIT, MI, 48219",22098107.001,StreetAddress,,18541 VAUGHAN ST,Detroit,MI,482,VACANT,20121443,18541 VAUGHAN,,GLO WRECKING COMPANY,2012/01/03 00:00:00+00,1,3,2012,2012/01/16 00:00:00+00,1,16,2012,26163541100,48219,1,22098107.001
-83.2497863575649,42.3874436217924,62,ParcelLocator_,M,100,A,"13994 WESTBROOK ST, DETROIT, MI, 48223",22109631.,StreetAddress,,13994 WESTBROOK ST,Detroit,MI,482,VACANT,20121442,13994 WESTBROOK,,GLO WRECKING COMPANY,2012/01/03 00:00:00+00,1,3,2012,2012/01/16 00:00:00+00,1,16,2012,26163543800,48223,1,22109631.13062
-83.2592643706084,42.3889347258814,63,ParcelLocator_,M,100,A,"14141 DOLPHIN ST, DETROIT, MI, 48223",22115086.,StreetAddress,,14141 DOLPHIN ST,Detroit,MI,482,VACANT,20121441,14141 DOLPHIN,,GLO WRECKING COMPANY,2012/01/03 00:00:00+00,1,3,2012,2012/01/16 00:00:00+00,1,16,2012,26163543800,48223,1,22115086.13523
-83.1499794692496,42.2894126907819,64,ParcelLocator_,M,100,A,"569 COLONIAL ST, DETROIT, MI, 48217",20016246.,StreetAddress,,569 COLONIAL ST,Detroit,MI,482,ABANDONED,20121177,569 COLONIAL,ENVIRONMENTAL MAINTE,ABC DEMOLITION COMPA,2012/01/31 00:00:00+00,1,31,2012,2012/03/15 00:00:00+00,3,15,2012,26163524500,48217,1,20016246.359
-82.9449283269332,42.3945683548759,65,ParcelLocator_,M,100,A,"4303 SOMERSET AVE, DETROIT, MI, 48224",21067561.,StreetAddress,,4303 SOMERSET AVE,Detroit,MI,482,RESIDENTIAL STRUCUTRE,20121176,4303 SOMERSET,PROFESSIONAL ABATEME,ABLE DEMOLITION INC,2012/01/11 00:00:00+00,1,11,2012,2012/01/22 00:00:00+00,1,22,2012,26163502000,48224,1,21067561.15472
-82.9968014705199,42.3776935193857,66,ParcelLocator_,M,100,A,"4503 COOPER ST, DETROIT, MI, 48214",19006634.,StreetAddress,,4503 COOPER ST,Detroit,MI,482,ABANDONED DWELLING,20112859,4503 COOPER,,"FARROW GROUP, INC.",2011/01/31 00:00:00+00,1,31,2011,2011/10/31 00:00:00+00,10,31,2011,26163514100,48214,1,19006634.11713
